name,position,latitude,longitude,species,transect
88,N38.57527 W121.75423,38.57527,-121.75423,A. fascicularis,1
89,N38.57527 W121.75431,38.57527,-121.75431,A. fascicularis,1
90,N38.57527 W121.75437,38.57527,-121.75437,A. fascicularis,1
91,N38.57528 W121.75445,38.57528,-121.75445,A. fascicularis,1
92,N38.57527 W121.75452,38.57527,-121.75452,A. fascicularis,1
93,N38.57527 W121.75458,38.57527,-121.75458,A. fascicularis,1
94,N38.57528 W121.75464,38.57528,-121.75464,A. fascicularis,1
95,N38.57528 W121.75474,38.57528,-121.75474,A. fascicularis,1
96,N38.57528 W121.75478,38.57528,-121.75478,A. fascicularis,1
97,N38.57528 W121.75486,38.57528,-121.75486,A. fascicularis,1
98,N38.57529 W121.75493,38.57529,-121.75493,A. fascicularis,1
99,N38.57529 W121.75499,38.57529,-121.75499,A. fascicularis,1
100,N38.57528 W121.75506,38.57528,-121.75506,A. fascicularis,1
101,N38.57527 W121.75513,38.57527,-121.75513,A. fascicularis,1
102,N38.57528 W121.75520,38.57528,-121.7552,A. fascicularis,1
103,N38.57527 W121.75527,38.57527,-121.75527,A. fascicularis,1
104,N38.57527 W121.75534,38.57527,-121.75534,A. fascicularis,1
105,N38.57528 W121.75541,38.57528,-121.75541,A. fascicularis,1
106,N38.57528 W121.75547,38.57528,-121.75547,A. fascicularis,1
107,N38.57529 W121.75556,38.57529,-121.75556,A. fascicularis,1
108,N38.57528 W121.75562,38.57528,-121.75562,A. fascicularis,1
109,N38.57527 W121.75569,38.57527,-121.75569,A. fascicularis,1
110,N38.57528 W121.75573,38.57528,-121.75573,A. fascicularis,1
111,N38.57528 W121.75581,38.57528,-121.75581,A. fascicularis,1
112,N38.57528 W121.75588,38.57528,-121.75588,A. fascicularis,1
113,N38.57528 W121.75594,38.57528,-121.75594,A. fascicularis,1
114,N38.57528 W121.75600,38.57528,-121.756,A. fascicularis,1
115,N38.57528 W121.75610,38.57528,-121.7561,A. fascicularis,1
116,N38.57529 W121.75617,38.57529,-121.75617,A. fascicularis,1
117,N38.57529 W121.75623,38.57529,-121.75623,A. fascicularis,1
118,N38.57529 W121.75630,38.57529,-121.7563,A. fascicularis,1
119,N38.57529 W121.75637,38.57529,-121.75637,A. fascicularis,1
120,N38.57529 W121.75644,38.57529,-121.75644,A. fascicularis,1
121,N38.57530 W121.75650,38.5753,-121.7565,A. fascicularis,1
122,N38.57531 W121.75658,38.57531,-121.75658,A. fascicularis,1
123,N38.57530 W121.75666,38.5753,-121.75666,A. fascicularis,1
124,N38.57530 W121.75672,38.5753,-121.75672,A. fascicularis,1
125,N38.57531 W121.75678,38.57531,-121.75678,A. fascicularis,1
126,N38.57530 W121.75686,38.5753,-121.75686,A. fascicularis,1
127,N38.57529 W121.75693,38.57529,-121.75693,A. fascicularis,1
128,N38.57529 W121.75700,38.57529,-121.757,A. fascicularis,1
129,N38.57529 W121.75706,38.57529,-121.75706,A. fascicularis,1
130,N38.57528 W121.75712,38.57528,-121.75712,A. fascicularis,1
131,N38.57528 W121.75721,38.57528,-121.75721,A. fascicularis,1
132,N38.57526 W121.75725,38.57526,-121.75725,A. fascicularis,1
133,N38.57524 W121.75732,38.57524,-121.75732,A. fascicularis,1
134,N38.57520 W121.75738,38.5752,-121.75738,A. fascicularis,1
135,N38.57519 W121.75743,38.57519,-121.75743,A. fascicularis,1
136,N38.57516 W121.75750,38.57516,-121.7575,A. fascicularis,1
137,N38.57511 W121.75755,38.57511,-121.75755,A. fascicularis,1
138,N38.57508 W121.75761,38.57508,-121.75761,A. fascicularis,1
139,N38.57504 W121.75766,38.57504,-121.75766,A. fascicularis,1
140,N38.57501 W121.75770,38.57501,-121.7577,A. fascicularis,1
141,N38.57497 W121.75774,38.57497,-121.75774,A. fascicularis,1
142,N38.57492 W121.75779,38.57492,-121.75779,A. fascicularis,1
143,N38.57488 W121.75782,38.57488,-121.75782,A. fascicularis,1
144,N38.57484 W121.75785,38.57484,-121.75785,A. fascicularis,1
145,N38.57479 W121.75787,38.57479,-121.75787,A. fascicularis,1
146,N38.57474 W121.75790,38.57474,-121.7579,A. fascicularis,1
147,N38.57469 W121.75793,38.57469,-121.75793,A. fascicularis,1
148,N38.57463 W121.75796,38.57463,-121.75796,A. fascicularis,1
149,N38.57458 W121.75797,38.57458,-121.75797,A. fascicularis,1
150,N38.57453 W121.75797,38.57453,-121.75797,A. fascicularis,1
151,N38.57447 W121.75797,38.57447,-121.75797,A. fascicularis,1
152,N38.57441 W121.75798,38.57441,-121.75798,A. fascicularis,1
153,N38.57436 W121.75798,38.57436,-121.75798,A. fascicularis,1
154,N38.57432 W121.75799,38.57432,-121.75799,A. fascicularis,1
155,N38.57426 W121.75799,38.57426,-121.75799,A. fascicularis,1
156,N38.57420 W121.75800,38.5742,-121.758,A. fascicularis,1
157,N38.57415 W121.75800,38.57415,-121.758,A. fascicularis,1
158,N38.57410 W121.75798,38.5741,-121.75798,A. fascicularis,1
159,N38.57404 W121.75799,38.57404,-121.75799,A. fascicularis,1
160,N38.57399 W121.75798,38.57399,-121.75798,A. fascicularis,1
161,N38.57394 W121.75800,38.57394,-121.758,A. fascicularis,1
162,N38.57389 W121.75800,38.57389,-121.758,A. fascicularis,1
163,N38.57383 W121.75800,38.57383,-121.758,A. fascicularis,1
164,N38.57377 W121.75801,38.57377,-121.75801,A. fascicularis,1
165,N38.57374 W121.75800,38.57374,-121.758,A. fascicularis,1
166,N38.57368 W121.75798,38.57368,-121.75798,A. fascicularis,1
167,N38.57363 W121.75798,38.57363,-121.75798,A. fascicularis,1
168,N38.57357 W121.75798,38.57357,-121.75798,A. fascicularis,1
169,N38.57352 W121.75799,38.57352,-121.75799,A. fascicularis,1
170,N38.57345 W121.75800,38.57345,-121.758,A. fascicularis,1
171,N38.57340 W121.75800,38.5734,-121.758,A. fascicularis,1
172,N38.57334 W121.75800,38.57334,-121.758,A. fascicularis,1
173,N38.57329 W121.75799,38.57329,-121.75799,A. fascicularis,1
174,N38.57323 W121.75799,38.57323,-121.75799,A. fascicularis,1
175,N38.57317 W121.75799,38.57317,-121.75799,A. fascicularis,1
176,N38.57313 W121.75799,38.57313,-121.75799,A. fascicularis,1
177,N38.57307 W121.75800,38.57307,-121.758,A. fascicularis,1
178,N38.57303 W121.75800,38.57303,-121.758,A. fascicularis,1
179,N38.57297 W121.75800,38.57297,-121.758,A. fascicularis,1
180,N38.57291 W121.75800,38.57291,-121.758,A. fascicularis,1
181,N38.57286 W121.75800,38.57286,-121.758,A. fascicularis,1
182,N38.57280 W121.75800,38.5728,-121.758,A. fascicularis,1
183,N38.57275 W121.75801,38.57275,-121.75801,A. fascicularis,1
184,N38.57270 W121.75801,38.5727,-121.75801,A. fascicularis,1
185,N38.57264 W121.75801,38.57264,-121.75801,A. fascicularis,1
186,N38.57259 W121.75801,38.57259,-121.75801,A. fascicularis,1
187,N38.57254 W121.75801,38.57254,-121.75801,A. fascicularis,1
188,N38.57249 W121.75801,38.57249,-121.75801,A. fascicularis,1
189,N38.57243 W121.75801,38.57243,-121.75801,A. fascicularis,1
190,N38.57237 W121.75802,38.57237,-121.75802,A. fascicularis,1
191,N38.57234 W121.75801,38.57234,-121.75801,A. fascicularis,1
192,N38.57227 W121.75802,38.57227,-121.75802,A. fascicularis,1
193,N38.57221 W121.75802,38.57221,-121.75802,A. fascicularis,1
194,N38.57216 W121.75802,38.57216,-121.75802,A. fascicularis,1
195,N38.57212 W121.75801,38.57212,-121.75801,A. fascicularis,1
196,N38.57207 W121.75801,38.57207,-121.75801,A. fascicularis,1
197,N38.57200 W121.75800,38.572,-121.758,A. fascicularis,1
198,N38.57195 W121.75800,38.57195,-121.758,A. fascicularis,1
199,N38.57527 W121.74819,38.57527,-121.74819,A. fascicularis,2
200,N38.57526 W121.74825,38.57526,-121.74825,A. fascicularis,2
201,N38.57527 W121.74832,38.57527,-121.74832,A. fascicularis,2
202,N38.57527 W121.74835,38.57527,-121.74835,A. fascicularis,2
203,N38.57527 W121.74843,38.57527,-121.74843,A. fascicularis,2
204,N38.57526 W121.74851,38.57526,-121.74851,A. fascicularis,2
205,N38.57527 W121.74858,38.57527,-121.74858,A. fascicularis,2
206,N38.57527 W121.74865,38.57527,-121.74865,A. fascicularis,2
207,N38.57527 W121.74873,38.57527,-121.74873,A. fascicularis,2
208,N38.57527 W121.74880,38.57527,-121.7488,A. fascicularis,2
209,N38.57528 W121.74885,38.57528,-121.74885,A. fascicularis,2
210,N38.57529 W121.74893,38.57529,-121.74893,A. fascicularis,2
211,N38.57529 W121.74901,38.57529,-121.74901,A. fascicularis,2
212,N38.57529 W121.74908,38.57529,-121.74908,A. fascicularis,2
213,N38.57530 W121.74914,38.5753,-121.74914,A. fascicularis,2
214,N38.57531 W121.74921,38.57531,-121.74921,A. fascicularis,2
215,N38.57532 W121.74926,38.57532,-121.74926,A. fascicularis,2
216,N38.57531 W121.74934,38.57531,-121.74934,A. fascicularis,2
217,N38.57531 W121.74941,38.57531,-121.74941,A. fascicularis,2
218,N38.57531 W121.74947,38.57531,-121.74947,A. fascicularis,2
219,N38.57531 W121.74953,38.57531,-121.74953,A. fascicularis,2
220,N38.57532 W121.74957,38.57532,-121.74957,A. fascicularis,2
221,N38.57532 W121.74959,38.57532,-121.74959,A. fascicularis,2
222,N38.57532 W121.74971,38.57532,-121.74971,A. fascicularis,2
223,N38.57532 W121.74977,38.57532,-121.74977,A. fascicularis,2
224,N38.57532 W121.74987,38.57532,-121.74987,A. fascicularis,2
225,N38.57532 W121.74993,38.57532,-121.74993,A. fascicularis,2
226,N38.57531 W121.75001,38.57531,-121.75001,A. fascicularis,2
227,N38.57533 W121.75009,38.57533,-121.75009,A. fascicularis,2
228,N38.57531 W121.75017,38.57531,-121.75017,A. fascicularis,2
229,N38.57533 W121.75025,38.57533,-121.75025,A. fascicularis,2
230,N38.57532 W121.75033,38.57532,-121.75033,A. fascicularis,2
231,N38.57532 W121.75037,38.57532,-121.75037,A. fascicularis,2
232,N38.57532 W121.75042,38.57532,-121.75042,A. fascicularis,2
233,N38.57532 W121.75052,38.57532,-121.75052,A. fascicularis,2
234,N38.57533 W121.75057,38.57533,-121.75057,A. fascicularis,2
235,N38.57533 W121.75065,38.57533,-121.75065,A. fascicularis,2
236,N38.57533 W121.75073,38.57533,-121.75073,A. fascicularis,2
237,N38.57532 W121.75079,38.57532,-121.75079,A. fascicularis,2
238,N38.57533 W121.75085,38.57533,-121.75085,A. fascicularis,2
239,N38.57533 W121.75092,38.57533,-121.75092,A. fascicularis,2
240,N38.57534 W121.75097,38.57534,-121.75097,A. fascicularis,2
241,N38.57533 W121.75106,38.57533,-121.75106,A. fascicularis,2
242,N38.57533 W121.75114,38.57533,-121.75114,A. fascicularis,2
243,N38.57534 W121.75118,38.57534,-121.75118,A. fascicularis,2
244,N38.57534 W121.75124,38.57534,-121.75124,A. fascicularis,2
245,N38.57534 W121.75131,38.57534,-121.75131,A. fascicularis,2
246,N38.57535 W121.75139,38.57535,-121.75139,A. fascicularis,2
247,N38.57535 W121.75149,38.57535,-121.75149,A. fascicularis,2
248,N38.57534 W121.75155,38.57534,-121.75155,A. fascicularis,2
249,N38.57534 W121.75161,38.57534,-121.75161,A. fascicularis,2
250,N38.57535 W121.75168,38.57535,-121.75168,A. fascicularis,2
251,N38.57534 W121.75174,38.57534,-121.75174,A. fascicularis,2
252,N38.57535 W121.75183,38.57535,-121.75183,A. fascicularis,2
253,N38.57534 W121.75190,38.57534,-121.7519,A. fascicularis,2
254,N38.57534 W121.75196,38.57534,-121.75196,A. fascicularis,2
255,N38.57534 W121.75203,38.57534,-121.75203,A. fascicularis,2
256,N38.57535 W121.75210,38.57535,-121.7521,A. fascicularis,2
257,N38.57535 W121.75216,38.57535,-121.75216,A. fascicularis,2
258,N38.57534 W121.75224,38.57534,-121.75224,A. fascicularis,2
259,N38.57534 W121.75231,38.57534,-121.75231,A. fascicularis,2
260,N38.57535 W121.75236,38.57535,-121.75236,A. fascicularis,2
261,N38.57535 W121.75242,38.57535,-121.75242,A. fascicularis,2
262,N38.57536 W121.75249,38.57536,-121.75249,A. fascicularis,2
263,N38.57536 W121.75255,38.57536,-121.75255,A. fascicularis,2
264,N38.57534 W121.75266,38.57534,-121.75266,A. fascicularis,2
265,N38.57535 W121.75270,38.57535,-121.7527,A. fascicularis,2
266,N38.57536 W121.75279,38.57536,-121.75279,A. fascicularis,2
267,N38.57535 W121.75285,38.57535,-121.75285,A. fascicularis,2
268,N38.57535 W121.75292,38.57535,-121.75292,A. fascicularis,2
269,N38.57535 W121.75298,38.57535,-121.75298,A. fascicularis,2
270,N38.57535 W121.75305,38.57535,-121.75305,A. fascicularis,2
271,N38.57535 W121.75311,38.57535,-121.75311,A. fascicularis,2
272,N38.57537 W121.75320,38.57537,-121.7532,A. fascicularis,2
273,N38.57536 W121.75323,38.57536,-121.75323,A. fascicularis,2
274,N38.57536 W121.75328,38.57536,-121.75328,A. fascicularis,2
275,N38.57536 W121.75337,38.57536,-121.75337,A. fascicularis,2
276,N38.57538 W121.75343,38.57538,-121.75343,A. fascicularis,2
277,N38.57538 W121.75349,38.57538,-121.75349,A. fascicularis,2
278,N38.57537 W121.75359,38.57537,-121.75359,A. fascicularis,2
279,N38.57536 W121.75364,38.57536,-121.75364,A. fascicularis,2
280,N38.57536 W121.75371,38.57536,-121.75371,A. fascicularis,2
281,N38.57536 W121.75374,38.57536,-121.75374,A. fascicularis,2
282,N38.57536 W121.75379,38.57536,-121.75379,A. fascicularis,2
283,N38.57537 W121.75384,38.57537,-121.75384,A. fascicularis,2
284,N38.57534 W121.75397,38.57534,-121.75397,A. fascicularis,2
285,N38.57536 W121.75405,38.57536,-121.75405,A. fascicularis,2
286,N38.57536 W121.75412,38.57536,-121.75412,A. fascicularis,2
287,N38.57536 W121.75418,38.57536,-121.75418,A. fascicularis,2
288,N38.57536 W121.75427,38.57536,-121.75427,A. fascicularis,2
289,N38.57536 W121.75432,38.57536,-121.75432,A. fascicularis,2
290,N38.57537 W121.75439,38.57537,-121.75439,A. fascicularis,2
291,N38.57537 W121.75446,38.57537,-121.75446,A. fascicularis,2
292,N38.57539 W121.75452,38.57539,-121.75452,A. fascicularis,2
293,N38.57539 W121.75459,38.57539,-121.75459,A. fascicularis,2
294,N38.57540 W121.75465,38.5754,-121.75465,A. fascicularis,2
295,N38.57538 W121.75474,38.57538,-121.75474,A. fascicularis,2
296,N38.57538 W121.75479,38.57538,-121.75479,A. fascicularis,2
297,N38.57537 W121.75489,38.57537,-121.75489,A. fascicularis,2
298,N38.57536 W121.75495,38.57536,-121.75495,A. fascicularis,2
299,N38.57537 W121.75501,38.57537,-121.75501,A. fascicularis,2
300,N38.57537 W121.75508,38.57537,-121.75508,A. fascicularis,2
301,N38.57537 W121.75515,38.57537,-121.75515,A. fascicularis,2
302,N38.57537 W121.75523,38.57537,-121.75523,A. fascicularis,2
303,N38.57537 W121.75531,38.57537,-121.75531,A. fascicularis,2
304,N38.57537 W121.75540,38.57537,-121.7554,A. fascicularis,2
305,N38.57537 W121.75546,38.57537,-121.75546,A. fascicularis,2
306,N38.57538 W121.75559,38.57538,-121.75559,A. fascicularis,2
307,N38.57537 W121.75567,38.57537,-121.75567,A. fascicularis,2
308,N38.57537 W121.75574,38.57537,-121.75574,A. fascicularis,2
309,N38.57537 W121.75580,38.57537,-121.7558,A. fascicularis,2
310,N38.57538 W121.75587,38.57538,-121.75587,A. fascicularis,2
311,N38.57538 W121.75594,38.57538,-121.75594,A. fascicularis,2
312,N38.57537 W121.75602,38.57537,-121.75602,A. fascicularis,2
313,N38.57537 W121.75608,38.57537,-121.75608,A. fascicularis,2
314,N38.57538 W121.75614,38.57538,-121.75614,A. fascicularis,2
315,N38.57538 W121.75621,38.57538,-121.75621,A. fascicularis,2
316,N38.57538 W121.75628,38.57538,-121.75628,A. fascicularis,2
317,N38.57538 W121.75635,38.57538,-121.75635,A. fascicularis,2
318,N38.57538 W121.75642,38.57538,-121.75642,A. fascicularis,2
319,N38.57538 W121.75646,38.57538,-121.75646,A. fascicularis,2
320,N38.57538 W121.75655,38.57538,-121.75655,A. fascicularis,2
321,N38.57538 W121.75662,38.57538,-121.75662,A. fascicularis,2
322,N38.57538 W121.75669,38.57538,-121.75669,A. fascicularis,2
323,N38.57538 W121.75674,38.57538,-121.75674,A. fascicularis,2
324,N38.57538 W121.75680,38.57538,-121.7568,A. fascicularis,2
325,N38.57538 W121.75689,38.57538,-121.75689,A. fascicularis,2
326,N38.57538 W121.75701,38.57538,-121.75701,A. fascicularis,2
327,N38.57536 W121.75704,38.57536,-121.75704,A. fascicularis,2
328,N38.57537 W121.75709,38.57537,-121.75709,A. fascicularis,2
329,N38.57536 W121.75715,38.57536,-121.75715,A. fascicularis,2
330,N38.57535 W121.75722,38.57535,-121.75722,A. fascicularis,2
331,N38.57532 W121.75729,38.57532,-121.75729,A. fascicularis,2
332,N38.57532 W121.75735,38.57532,-121.75735,A. fascicularis,2
333,N38.57530 W121.75739,38.5753,-121.75739,A. fascicularis,2
334,N38.57529 W121.75747,38.57529,-121.75747,A. fascicularis,2
335,N38.57526 W121.75753,38.57526,-121.75753,A. fascicularis,2
336,N38.57523 W121.75759,38.57523,-121.75759,A. fascicularis,2
337,N38.57519 W121.75764,38.57519,-121.75764,A. fascicularis,2
338,N38.57517 W121.75767,38.57517,-121.75767,A. fascicularis,2
339,N38.57514 W121.75772,38.57514,-121.75772,A. fascicularis,2
340,N38.57508 W121.75777,38.57508,-121.75777,A. fascicularis,2
341,N38.57504 W121.75782,38.57504,-121.75782,A. fascicularis,2
342,N38.57497 W121.75787,38.57497,-121.75787,A. fascicularis,2
343,N38.57492 W121.75790,38.57492,-121.7579,A. fascicularis,2
344,N38.57487 W121.75794,38.57487,-121.75794,A. fascicularis,2
345,N38.57484 W121.75796,38.57484,-121.75796,A. fascicularis,2
346,N38.57478 W121.75797,38.57478,-121.75797,A. fascicularis,2
347,N38.57472 W121.75801,38.57472,-121.75801,A. fascicularis,2
348,N38.57465 W121.75803,38.57465,-121.75803,A. fascicularis,2
349,N38.57459 W121.75805,38.57459,-121.75805,A. fascicularis,2
350,N38.57456 W121.75805,38.57456,-121.75805,A. fascicularis,2
351,N38.57450 W121.75805,38.5745,-121.75805,A. fascicularis,2
352,N38.57444 W121.75805,38.57444,-121.75805,A. fascicularis,2
353,N38.57438 W121.75806,38.57438,-121.75806,A. fascicularis,2
354,N38.57435 W121.75806,38.57435,-121.75806,A. fascicularis,2
355,N38.57428 W121.75806,38.57428,-121.75806,A. fascicularis,2
356,N38.57422 W121.75807,38.57422,-121.75807,A. fascicularis,2
357,N38.57416 W121.75807,38.57416,-121.75807,A. fascicularis,2
358,N38.57412 W121.75807,38.57412,-121.75807,A. fascicularis,2
359,N38.57408 W121.75807,38.57408,-121.75807,A. fascicularis,2
360,N38.57401 W121.75807,38.57401,-121.75807,A. fascicularis,2
361,N38.57398 W121.75808,38.57398,-121.75808,A. fascicularis,2
362,N38.57393 W121.75807,38.57393,-121.75807,A. fascicularis,2
363,N38.57386 W121.75808,38.57386,-121.75808,A. fascicularis,2
364,N38.57381 W121.75809,38.57381,-121.75809,A. fascicularis,2
365,N38.57376 W121.75808,38.57376,-121.75808,A. fascicularis,2
366,N38.57370 W121.75809,38.5737,-121.75809,A. fascicularis,2
367,N38.57366 W121.75809,38.57366,-121.75809,A. fascicularis,2
368,N38.57360 W121.75810,38.5736,-121.7581,A. fascicularis,2
369,N38.57353 W121.75810,38.57353,-121.7581,A. fascicularis,2
370,N38.57347 W121.75811,38.57347,-121.75811,A. fascicularis,2
371,N38.57342 W121.75811,38.57342,-121.75811,A. fascicularis,2
372,N38.57338 W121.75811,38.57338,-121.75811,A. fascicularis,2
373,N38.57333 W121.75809,38.57333,-121.75809,A. fascicularis,2
374,N38.57325 W121.75810,38.57325,-121.7581,A. fascicularis,2
375,N38.57321 W121.75810,38.57321,-121.7581,A. fascicularis,2
376,N38.57316 W121.75811,38.57316,-121.75811,A. fascicularis,2
377,N38.57311 W121.75810,38.57311,-121.7581,A. fascicularis,2
378,N38.57305 W121.75810,38.57305,-121.7581,A. fascicularis,2
379,N38.57301 W121.75810,38.57301,-121.7581,A. fascicularis,2
380,N38.57295 W121.75811,38.57295,-121.75811,A. fascicularis,2
381,N38.57290 W121.75811,38.5729,-121.75811,A. fascicularis,2
382,N38.57283 W121.75810,38.57283,-121.7581,A. fascicularis,2
383,N38.57279 W121.75809,38.57279,-121.75809,A. fascicularis,2
384,N38.57274 W121.75810,38.57274,-121.7581,A. fascicularis,2
385,N38.57267 W121.75809,38.57267,-121.75809,A. fascicularis,2
386,N38.57260 W121.75809,38.5726,-121.75809,A. fascicularis,2
387,N38.57255 W121.75810,38.57255,-121.7581,A. fascicularis,2
388,N38.57251 W121.75811,38.57251,-121.75811,A. fascicularis,2
389,N38.57243 W121.75811,38.57243,-121.75811,A. fascicularis,2
390,N38.57238 W121.75811,38.57238,-121.75811,A. fascicularis,2
391,N38.57234 W121.75811,38.57234,-121.75811,A. fascicularis,2
392,N38.57229 W121.75811,38.57229,-121.75811,A. fascicularis,2
393,N38.57223 W121.75810,38.57223,-121.7581,A. fascicularis,2
394,N38.57218 W121.75811,38.57218,-121.75811,A. fascicularis,2
395,N38.57214 W121.75810,38.57214,-121.7581,A. fascicularis,2
396,N38.57207 W121.75810,38.57207,-121.7581,A. fascicularis,2
397,N38.57202 W121.75810,38.57202,-121.7581,A. fascicularis,2
398,N38.57196 W121.75810,38.57196,-121.7581,A. fascicularis,2
399,N38.57191 W121.75810,38.57191,-121.7581,A. fascicularis,2
